policy,N,lambda,rho,W,imbalance,pkts,sim_T,L0,L1,L2,L3
Random,4,1,0.2,1.66216,0.838968,5893,6001.05,0.144701,0.191103,0.315448,0.983669
Random,4,2,0.4,15.9056,29.4732,11730,6000.45,0.345077,0.507734,1.0615,29.8183
Random,4,3,0.6,213.224,850.098,16412,6000.07,0.599361,0.924303,3.06208,850.697
Random,4,4,0.8,492.692,3279.82,42082,12000.3,1.0987,2.1948,37.7153,3280.92
Random,4,4.5,0.9,1176.84,7318.78,75157,20000,1.36037,3.31819,1339.5,7320.14
Round-robin,4,1,0.2,1.23104,0.530207,6014,6000.42,0.132097,0.171957,0.267464,0.662304
Round-robin,4,2,0.4,20.3365,39.117,11842,6000.7,0.282039,0.379408,0.738327,39.399
Round-robin,4,3,0.6,204.78,832.226,16170,6000.08,0.426953,0.769736,1.96898,832.653
Round-robin,4,4,0.8,533.626,3467.31,41688,12000.1,0.725221,1.27961,108.583,3468.04
Round-robin,4,4.5,0.9,1222.44,7050.79,74643,20000,0.912413,2.03575,1581.59,7051.71
JSQ,4,1,0.2,0.952994,0.222663,5802,6000.19,0.144472,0.169052,0.240618,0.367135
JSQ,4,2,0.4,0.991742,0.325476,11593,6000.31,0.345255,0.388251,0.510023,0.670731
JSQ,4,3,0.6,1.15084,0.490337,17693,6000.07,0.644154,0.737016,0.877022,1.13449
JSQ,4,4,0.8,1.78536,0.689898,47634,12000.1,1.48436,1.61406,1.81556,2.17426
JSQ,4,4.5,0.9,2.78273,0.860954,89789,20000.1,2.76323,2.92938,3.174,3.62418
