policy,N,lambda,rho_per_server,W,imbalance,pkts,sim_T
Random,2,1.6,0.8,4.96835,0.204066,19176,12000.1
Random,4,3.2,0.8,4.65254,0.790763,38246,12001.1
Random,8,6.4,0.8,4.905,0.967053,76842,12000
Random,16,12.8,0.8,5.21413,1.50224,154021,12000
Round-robin,2,1.6,0.8,3.75796,0.08776,18899,12000.3
Round-robin,4,3.2,0.8,3.12129,0.201607,38112,12000.1
Round-robin,8,6.4,0.8,3.08975,0.893667,76563,12000.2
Round-robin,16,12.8,0.8,2.8462,0.450624,153253,12000.1
JSQ,2,1.6,0.8,3.07491,0.012197,18999,12000.2
JSQ,4,3.2,0.8,1.91117,0.013896,38270,12000
JSQ,8,6.4,0.8,1.4506,0.012984,76544,12000.1
JSQ,16,12.8,0.8,1.20505,0.015532,153234,12000
